web-scraper-order,web-scraper-start-url,Summary,,,,,,,
1667026591-229,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"Latest version of Eclipse, Mylyn, and Trac connector: Missing task editor selection",,,,,,,
1667026591-230,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.servertools.doc.isv missing from S-3.8.2RC4-20170308000057 build,,,,,,,
1667026591-231,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"org.eclipse.text.edits.MalformedTreeException: Overlapping text edits, during cleanup",,,,,,,
1667026591-232,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,JPA Transaction are not handled correctly within "org.eclipse.ebpm.DatabaseService,,,,,,,
1667026591-233,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,An Error when trying to open Eclipse and choose a directory,,,,,,,
1667026591-234,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse does not display the help window when pressing (CTRL + SPACE),,,,,,,
1667026591-235,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"AMP consumes org.eclipse.emf.java, missing about.html",,,,,,,
1667026591-236,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,How to install the visual editor on the eclipse,,,,,,,
1667026591-237,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Updating Eclipse from 4.9 to 4.10: false compiler errors,,,,,,,
1667026591-238,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,MTJ preprocessor does not work in Eclipse 3.7,,,,,,,
1667026591-239,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,StackOverflowError with org.eclipse.persistence.expressions.Expression.value(Object),,,,,,,
1667026591-240,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.jdt.disableMetaIndex confusion,,,,,,,
1667026591-241,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Cannot use ant headless: org.eclipse.workflow ultimately depends on workbench,,,,,,,
1667026591-242,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Server keep restarting when deploying J2EE endpoint within eclipse,,,,,,,
1667026591-243,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org/eclipse/jetty/util/Decorator Exception Trying To Preview,,,,,,,
1667026591-244,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"GDB breakage: debug program unexpectedly terminates, eclipse restart needed",,,,,,,
1667026591-245,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse exits when Switching Apps - GSlice: MemChecker: attempt to release block with invalid size,,,,,,,
1667026591-246,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,class org.eclipse.wst.jsdt.core.dom.EmptyStatement is not assignable to class org.eclipse.wst.jsdt.core.dom.SingleVariableDeclaration,,,,,,,
1667026591-247,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Publish latest releases to maven.eclipse.org,,,,,,,
1667026591-248,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[Proxy] Eclipse Neon 4.6 error trying to access Marketplace using proxy.,,,,,,,
1667026591-249,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Error org.eclipse.equinox.p2.core "Adding a profile with duplicate id" during install,,,,,,,
1667026591-250,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Syntax error causes eclipse to freeze,,,,,,,
1667026591-251,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse Mars .1 beginning tutorial does not match software configuration,,,,,,,
1667026591-252,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Memory leak in org.eclipse.jem.workbench.utility.JavaModelListener,,,,,,,
1667026591-253,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse hangs on startup in org.eclipse.wst.xsd.ui.internal.adt.editor.ADTMultiPageEditor,,,,,,,
1667026591-254,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Configuration drop-down box missing when using EPFC in Eclipse using shell sharing,,,,,,,
1667026591-255,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,1.4 release of JEM has dependency conflicts with Eclipse XML tool under WTP,,,,,,,
1667026591-256,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse fails to launch on macOS Monterey (aarch64) after several days,,,,,,,
1667026591-257,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse - Maven - JPMS,,,,,,,
1667026591-258,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Invisible tab after drag and drop the windows in Eclipse 4.8 32-bit (similar to 566559),,,,,,,
1667026591-259,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Unable to perfom pull operation from Eclipse for the changes performed in Github,,,,,,,
1667026591-260,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.gmf.runtime.diagram.ui.internal.commands.CopyCommand is setting affected files list and while executing the same command GMF is requesting FileModification Approval,,,,,,,
1667026591-261,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse hangs for more than 10 seconds when replacing content of large XML file if BasicStructuredDocument is connected,,,,,,,
1667026591-262,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,NullPointerException in org.eclipse.persistence.mappings.ObjectReferenceMapping,,,,,,,
1667026591-263,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse doesn't follow redirects when proxies are set - specifically when trying to install or update plugins,,,,,,,
1667026591-264,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Visual red bars across the screen with Eclipse 2021-6 only,,,,,,,
1667026591-265,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Core dump in jni_GetStringUTFChars when executed from org.eclipse.cdt.utils.spawner.Spawner.exec0,,,,,,,
1667026591-266,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse is damaged and can not launch after adding -vm option in eclipse.ini,,,,,,,
1667026591-267,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[efs][performance] Eclipse hangs on startup of a Workspace with a large efs-shared file system on a slow connection,,,,,,,
1667026591-268,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse is not picking ANDROID_HOME from global env nor Run Configurations Environment,,,,,,,
1667026591-269,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,eclipse does not resolve correctly folders with same header name,,,,,,,
1667026591-270,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse shows phantom compile errors and pretends wrong Java version would be in effect,,,,,,,
1667026591-271,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse hangs when value field is double clicked on a stored procedure on MAC,,,,,,,
1667026591-272,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,RDz 9.1.1 client crashes with  org.eclipse.wst.xml.core.internal.parser.XMLSourceParser opening large sequential file,,,,,,,
1667026591-273,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,E4 product export fails to include org.eclipse.equinox.concurrent,,,,,,,
1667026591-274,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Upgrading to eclipse-jdt-annotations-2.2.4 broke incremental compilation,,,,,,,
1667026591-275,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Cannot run nebula commands on Eclipse 2018-12,,,,,,,
1667026591-276,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[javax.servlet] Missing servlet DTD and schema definitions in Jetty/Eclipse,,,,,,,
1667026591-277,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Illegal reflective access by org.eclipse.sphinx.platform.util.ReflectUtil,,,,,,,
1667026591-278,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.gemini.jpa.classloader.CompositeClassLoader.loadClass(String) must check for null,,,,,,,
1667026591-279,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse freezes for minutes,,,,,,,
1667026591-280,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,http://babel.eclipse.org/babel/importing.php redirects to https and back,,,,,,,
1667026591-281,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,The tree viewer state restoration upon Eclipse startup occasionally failing,,,,,,,
1667026591-282,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Visual Editor plugin installs but it does not (and no other plugins) show up in Eclipse after that. For some periods of time it does not even install.,,,,,,,
1667026591-283,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Editing in files sometimes slows down the (eclipse) system dramatically,,,,,,,
1667026591-284,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse fails to launch debugger,,,,,,,
1667026591-285,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,java.lang.IllegalStateException at org.eclipse.mylyn.internal.wikitext.ui.editor.syntax.FastMarkupPartitioner$PartitionBuilder.endDocument(FastMarkupPartitioner.java:366),,,,,,,
1667026591-286,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse Juno: java.lang.NullPointerException,,,,,,,
1667026591-287,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,createComposite method is not calling when switch from eclipse 3.2 to 4.1,,,,,,,
1667026591-288,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Security Vulnerabilities in Eclipse BIRT jars,,,,,,,
1667026591-289,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Mylyn not working with eclipse 2022-06,,,,,,,
1667026591-290,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse e4 Tools Bridge for 3.x (Incubation) not installable on M7 ?,,,,,,,
1667026591-291,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Script Explorer giving org.eclipse.jface.viewers.ColumnViewer.checkBusy error.,,,,,,,
1667026591-292,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,ClassNotFoundException: org.eclipse.xtext.generator.DefaultGeneratorFragment,,,,,,,
1667026591-293,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[pde] org.eclipse.xtext.xbase.junit exports the same package as org.eclipse.xtext.xbase,,,,,,,
1667026591-294,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.swt.SWTError: No more handles,,,,,,,
1667026591-295,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Installs but not available in eclipse when eclipse is owned by root,,,,,,,
1667026591-296,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Exceptions on eclipse startup.,,,,,,,
1667026591-297,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.cdt.core.templates not applied on custom projectType,,,,,,,
1667026591-298,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse freeze when invoking type hierarchy for java.lang.Object,,,,,,,
1667026591-299,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[1.8] Eclipse failed to compile Java 8 code against Scala library types.,,,,,,,
1667026591-300,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Support for non Eclipse-specific paths for server side JavaScript files,,,,,,,
1667026591-301,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"org.eclipse.wst.wsi and org.eclipse.wst.wsdl.validation should require javax.wsdl 1.6.x, not 1.5.x",,,,,,,
1667026591-302,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,“Organize Imports” command (CTRL + SHIFT + O) completely freeze Eclipse,,,,,,,
1667026591-303,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,High CPU Usage (100 %) on org.eclipse.birt.chart,,,,,,,
1667026591-304,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse .classpath does not resolve wildcards,,,,,,,
1667026591-305,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,404 when accessing Tomcat 9 in Eclipse [similar to bug 515311],,,,,,,
1667026591-306,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Deadlock in Eclipse 2019-12 M3 startup,,,,,,,
1667026591-307,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,M2E causes maven plugin running inside Eclipse not being able to resolve transitive dependencies correctly,,,,,,,
1667026591-308,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"Indexer causes eclipse to crash, symbols from STL and external libraries not resolved",,,,,,,
1667026591-309,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse completely freezes when content assist is triggered in a lambda,,,,,,,
1667026591-310,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Windows10 Defender significantly slows down and freezes Eclipse,,,,,,,
1667026591-311,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse debug breakpoints not hit when using TestNG and AspectJ with load-time weaving,,,,,,,
1667026591-312,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"First time using Eclipse with Wildly, Creating basic Dynamic web project",,,,,,,
1667026591-313,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Why can't i see updates and update the Eclipse ??,,,,,,,
1667026591-314,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse never ends when generating classes with JAXB and a library is missing,,,,,,,
1667026591-315,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Indexer hang in org.eclipse.cdt.internal.core.dom.parser.cpp.semantics.CPPInheritance$FinalOverriderMap.mergeOverriders,,,,,,,
1667026591-316,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse hangs when save a java class,,,,,,,
1667026591-317,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[CDO] CDO opens ErrorEditPart instead of opened editors when we restart Eclipse,,,,,,,
1667026591-318,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Can't update to 4.3 egit/jgit on "pure" Eclipse 3.8.x SDK,,,,,,,
1667026591-319,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Indexes are not rebuilt properly after clearing with the button "Clear" & Rebuilding (Eclipse still keeps references to old libs used for reference),,,,,,,
1667026591-320,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,${eclipse.pdebuild.scripts} is not set,,,,,,,
1667026591-321,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse 2021 06 MacOS 11.4 Servlet won't run from IDE "Transport Security policy",,,,,,,
1667026591-322,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Big arrays (40k lines) freezes eclipse,,,,,,,
1667026591-323,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.jdt.core.dom.Expression#resolveTypeBinding returns null for PatternInstanceofExpression,,,,,,,
1667026591-324,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,eclipse java ee ide update problem,,,,,,,
1667026591-325,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[1.8] Generics code compiles in javac 1.8 but not in eclipse Luna 4.4.2,,,,,,,
1667026591-326,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Two copies of org.eclipse.gmf.templates.legacy plugin in GMF SDK,,,,,,,
1667026591-327,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Rhino Debug Launcher has the same CWD as Eclipse,,,,,,,
1667026591-328,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"javac compiles, but eclipse not",,,,,,,
1667026591-329,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Generating autocomplete from XSD crashes Eclipse,,,,,,,
1667026591-330,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.gmf.runtime.diagram.ui.parts.DiagramEditorWithFlyOutPalette dispose doesn't work properly,,,,,,,
1667026591-331,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse software issue,,,,,,,
1667026591-332,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"When opening specific file, eclipse freezes for several seconds",,,,,,,
1667026591-333,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse Stuck on building workspace after installing Angular js,,,,,,,
1667026591-334,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,deploy-name not updated in org.eclipse.wst.common.component,,,,,,,
1667026591-335,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,After update to 2019-09: The Eclipse executable launcher was unable to locate its companion shared library,,,,,,,
1667026591-336,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[CDO] CDO Checkout are incompatible with Eclipse WorkingSet in the Project Explorer,,,,,,,
1667026591-337,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Copy and Paste doesn't work between Eclipse and KDE applications on Kubuntu with Wayland,,,,,,,
1667026591-338,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,eclipse-bundle-recipe modules does not contribute to Tycho dependency resolution,,,,,,,
1667026591-339,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,org.eclipse.birt.report.viewer plugin requires org.eclipse.jetty.* plugins but not included in any features,,,,,,,
1667026591-340,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Can't update anymore on Eclipse Java (J2EE) and PDT v4.24 / 2022-06,,,,,,,
1667026591-341,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse accept -- as valid in XML comments,,,,,,,
1667026591-342,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse hangs after opening sync view in the "changesets" mode with lots of modified files,,,,,,,
1667026591-343,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Using ResourcesPlugin in immediate service crashes Eclipse on startup,,,,,,,
1667026591-344,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse for Java feels sluggish and crashes a lot,,,,,,,
1667026591-345,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"""New Concern"" action broken in Eclipse 3.1",,,,,,,
1667026591-346,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,The eclipse help system (helpSupport) UI does not work properly in RAP 1.5,,,,,,,
1667026591-347,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"[Idea] org.eclipse.xtext.idea.resource.IdeaResourceSetProvider.VirtualFileBasedUriHandler.exists(URI, Map<?, ?>) return wrong result",,,,,,,
1667026591-348,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse crashing constantly,,,,,,,
1667026591-349,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse deletes wb-resource entries on Project import,,,,,,,
1667026591-350,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,"Eclipse JPA Update hangs, thread dump shows NoSuchElementException",,,,,,,
1667026591-351,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,SampleClient ERROR: Unable to get agent org.eclipse.tptp.TimeCollector,,,,,,,
1667026591-352,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse UI continual freeze,,,,,,,
1667026591-353,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,[GTK/Linux] Eclipse freezes on certain actions,,,,,,,
1667026591-354,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,PDE Build is not being able to handle plugins and export and import the same packages. for example com.sun.xml.bind_2.3.3.v20201118-1818.jar in Eclipse 2021-06 CPP,,,,,,,
1667026591-355,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse crashes in mshtml when open htm file in IE web browser,,,,,,,
1667026591-356,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,java.lang.ClassCastException: org.eclipse.birt.data.engine.impl.JointDataSetAdapter cannot be cast to org.eclipse.birt.data.engine.api.IOdaDataSetDesign,,,,,,,
1667026591-357,https://bugs.eclipse.org/bugs/buglist.cgi?bug_status=__open__&content=Eclipse&no_redirect=1&order=Importance&query_format=specific,Eclipse keeps crashing,,,,,,,
